iter	Passed	Remaining
903	1727	183
904	1729	181
905	1730	179
906	1731	177
907	1733	175
908	1734	173
909	1735	171
910	1738	169
911	1739	167
912	1741	165
913	1742	163
914	1743	161
915	1744	160
916	1746	158
917	1748	156
918	1750	154
919	1751	152
920	1753	150
921	1754	148
922	1755	146
923	1756	144
924	1757	142
925	1759	140
926	1760	138
927	1762	136
928	1763	134
929	1764	132
930	1765	130
931	1766	128
932	1767	126
933	1768	124
934	1769	123
935	1770	121
936	1771	119
937	1772	117
938	1773	115
939	1774	113
940	1775	111
941	1777	109
942	1778	107
943	1779	105
944	1780	103
945	1782	101
946	1783	99
947	1784	97
948	1786	95
949	1787	94
950	1788	92
951	1789	90
952	1791	88
953	1792	86
954	1794	84
955	1797	82
956	1800	80
957	1804	79
958	1805	77
959	1807	75
960	1808	73
961	1809	71
962	1810	69
963	1812	67
964	1813	65
965	1814	63
966	1815	61
967	1817	60
968	1818	58
969	1820	56
970	1821	54
971	1823	52
972	1825	50
973	1827	48
974	1828	46
975	1831	45
976	1834	43
977	1836	41
978	1837	39
979	1839	37
980	1842	35
981	1843	33
982	1845	31
983	1847	30
984	1848	28
985	1850	26
986	1852	24
987	1854	22
988	1856	20
989	1857	18
990	1858	16
991	1864	15
992	1866	13
993	1867	11
994	1868	9
995	1869	7
996	1871	5
997	1872	3
998	1874	1
999	1875	0
